Abkhazia,"Abkhaz, Abkhazian"
Afghanistan,Afghan
Åland Islands,Åland Island
Albania,Albanian
Algeria,Algerian
American Samoa,American Samoan
Andorra,Andorran
Angola,Angolan
Anguilla,Anguillan
Antarctica,Antarctic
Antigua and Barbuda,"Antiguan, Barbudan"
Argentina,"Argentinian, Argentine"
Armenia,Armenian
Aruba,Aruban
Australia,Australian
Austria,Austrian
Azerbaijan,"Azerbaijani, Azeri"
"Bahamas, The",Bahamian
Bahrain,Bahraini
Bangladesh,Bangladeshi
Barbados,Barbadian
Belarus,Belarusian
Belgium,Belgian
Belize,Belizean
Benin,"Beninese, Beninois"
Bermuda,"Bermudian, Bermudan"
Bhutan,Bhutanese
"Bolivia, Plurnational State of",Bolivian
Bonaire,Bonaire
Bosnia and Herzegovina,"Bosnian, Herzegovinian"
Botswana,"Motswana, Botswanan"
Bouvet Island,Bouvet Island
Brazil,Brazilian
British Indian Ocean Territory,BIOT
Brunei,Bruneian
Bulgaria,Bulgarian
Burkina Faso,Burkinabé
Burma,Burmese
Burundi,Burundian
Cabo Verde,Cabo Verdean
Cambodia,Cambodian
Cameroon,Cameroonian
Canada,Canadian
Cayman Islands,Caymanian
Central African Republic,Central African
Chad,Chadian
Chile,Chilean
"China, People's Republic of",Chinese
"China, Republic of","Taiwanese, Formosan"
Christmas Island,Christmas Island
Cocos (Keeling) Islands,Cocos Island
Colombia,Colombian
Comoros,"Comoran, Comorian"
"Congo, Democratic Republic of the",Congolese
Cook Islands,Cook Island
Costa Rica,Costa Rican
Côte d'Ivoire,Ivorian
Croatia,Croatian
Cuba,Cuban
Curaçao,Curaçaoan
Cyprus,Cypriot
Czech Republic,Czech
Denmark,Danish
Djibouti,Djiboutian
Dominica,Dominican
Dominican Republic,Dominican
East Timor,Timorese
Ecuador,Ecuadorian
Egypt,Egyptian
El Salvador,Salvadoran
England,"English people, English"
Equatorial Guinea,"Equatorial Guinean, Equatoguinean"
Eritrea,Eritrean
Estonia,Estonian
Eswatini (Swaziland),"Swazi, Swati"
Ethiopia,Ethiopian
European Union,European
Falkland Islands,Falkland Island
Faroe Islands,Faroese
Fiji,Fijian
Finland,Finnish
France,French
French Guiana,French Guianese
French Polynesia,French Polynesian
French Southern Territories,French Southern Territories
Gabon,Gabonese
"Gambia, The",Gambian
Georgia,Georgian
Germany,German
Ghana,Ghanaian
Gibraltar,Gibraltar
Greece,"Greek, Hellenic"
Greenland,Greenlandic
Grenada,Grenadian
Guadeloupe,Guadeloupe
Guam,Guamanian
Guatemala,Guatemalan
Guernsey,Channel Island
Guinea,Guinean
Guinea-Bissau,Bissau-Guinean
Guyana,Guyanese
Haiti,Haitian
Heard Island and McDonald Islands,Heard Island or McDonald Islands
Honduras,Honduran
Hong Kong,"Hong Kong, Cantonese, Hong Konger"
,
Hungary,"Hungarian, Magyar"
Iceland,Icelandic
India,Indian
Indonesia,Indonesian
"Iran, Islamic Republic of","Iranian, Persian"
Iraq,Iraqi
Ireland,Irish
Isle of Man,Manx
Israel,"Israeli, Israelite"
Italy,Italian
Ivory Coast,Ivorian
Jamaica,Jamaican
Jan Mayen,Jan Mayen
Japan,Japanese
Jersey,Channel Island
Jordan,Jordanian
Kazakhstan,"Kazakhstani, Kazakh"
Kenya,Kenyan
Kiribati,I-Kiribati
"Korea, Democratic People's Republic of",North Korean
"Korea, Republic of",South Korean
Kosovo,"Kosovar, Kosovan"
Kuwait,Kuwaiti
Kyrgyzstan,"Kyrgyzstani, Kyrgyz, Kirgiz, Kirghiz"
Lao People's Democratic Republic,"Lao, Laotian"
Latvia,"Latvian, Lettish"
Lebanon,Lebanese
Lesotho,Basotho
Liberia,Liberian
Libya,Libyan
Liechtenstein,Liechtensteiner
Lithuania,Lithuanian
Luxembourg,"Luxembourg, Luxembourgish"
Macau,"Macanese, Chinese"
"North Macedonia, Republic of",Macedonian
Madagascar,Malagasy
Malawi,Malawian
Malaysia,Malaysian
Maldives,Maldivian
Mali,"Malian, Malinese"
Malta,Maltese
Marshall Islands,Marshallese
Martinique,"Martiniquais, Martinican"
Mauritania,Mauritanian
Mauritius,Mauritian
Mayotte,Mahoran
Mexico,Mexican
"Micronesia, Federated States of",Micronesian
Moldova,Moldovan
Monaco,"Monégasque, Monacan"
Mongolia,Mongolian
Montenegro,Montenegrin
Montserrat,Montserratian
Morocco,Moroccan
Mozambique,Mozambican
Myanmar,Burmese
Namibia,Namibian
Nauru,Nauruan
Nepal,"Nepali, Nepalese"
Netherlands,"Dutch, Netherlandic"
New Caledonia,New Caledonian
New Zealand,"New Zealand, New Zealandic"
Nicaragua,Nicaraguan
Niger,Nigerien
Nigeria,Nigerian
Niue,Niuean
Norfolk Island,Norfolk Island
Northern Ireland,"Northern Irish, British"
Northern Mariana Islands,Northern Marianan
Norway,Norwegian
Oman,Omani
Pakistan,Pakistani
Palau,Palauan
Palestine,Palestinian
Panama,Panamanian
Papua New Guinea,"Papua New Guinean, Papuan"
Paraguay,Paraguayan
Peru,Peruvian
Philippines,"Filipino, Philippine"
Pitcairn Islands,Pitcairn Island
Poland,Polish
Portugal,Portuguese
Puerto Rico,Puerto Rican
Qatar,Qatari
Réunion,"Réunionese, Réunionnais"
Romania,Romanian
Russia,Russian
Rwanda,Rwandan
Saba,Saba
Saint Barthélemy,Barthélemois
"Saint Helena, Ascension and Tristan da Cunha",Saint Helenian
Saint Kitts and Nevis,Kittitian or Nevisian
Saint Lucia,Saint Lucian
Saint Martin,Saint-Martinoise
Saint Pierre and Miquelon,Saint-Pierrais or Miquelonnais
Saint Vincent and the Grenadines,"Saint Vincentian, Vincentian"
Samoa,Samoan
San Marino,Sammarinese
São Tomé and Príncipe,São Toméan
Saudi Arabia,"Saudi, Saudi Arabian"
Scotland,"Scottish, British"
Senegal,Senegalese
Serbia,Serbian
Seychelles,Seychellois
Sierra Leone,Sierra Leonean
Singapore,"Singapore, Singaporean"
Sint Eustatius,"Sint Eustatius, Statian"
Sint Maarten,Sint Maarten
Slovakia,Slovak
Slovenia,"Slovenian, Slovene"
Solomon Islands,Solomon Island
Somalia,Somali
Somaliland,Somalilander
South Africa,South African
South Georgia and the South Sandwich Islands,South Georgia or South Sandwich Islands
South Ossetia,South Ossetian
South Sudan,South Sudanese
Spain,Spanish
Sri Lanka,Sri Lankan
Sudan,Sudanese
Suriname,Surinamese
Svalbard,Svalbard
